micro;time;excel time;peak;average;RMS
micro;12:03:18.101;44449.50229283565;34.151;22.012;23.926
micro;12:03:18.223;44449.502294247686;33.064;21.619;23.431
micro;12:03:18.339;44449.50229559028;37.616;23.719;25.731
micro;12:03:18.476;44449.502297175924;37.025;24.822;26.634
micro;12:03:18.597;44449.50229857639;37.730;25.927;27.830
micro;12:03:18.741;44449.50230024305;50.655;29.202;32.333
micro;12:03:18.852;44449.50230152778;50.130;26.782;30.726
micro;12:03:18.972;44449.50230291666;37.266;22.399;24.436
micro;12:03:19.111;44449.502304525464;33.804;22.013;23.935
micro;12:03:19.232;44449.502305925926;34.320;21.432;23.322
micro;12:03:19.372;44449.502307546296;35.563;22.077;23.988
micro;12:03:19.502;44449.50230905093;40.172;24.553;26.694
micro;12:03:19.614;44449.50231034722;36.258;23.857;25.947
micro;12:03:19.762;44449.50231206018;37.616;24.625;26.623
micro;12:03:19.880;44449.502313425925;36.124;24.485;26.383
micro;12:03:20.011;44449.50231494213;34.964;21.939;24.054
micro;12:03:20.137;44449.50231640047;32.869;21.885;23.655
micro;12:03:20.253;44449.502317743056;34.807;23.165;24.997
micro;12:03:20.392;44449.50231935186;34.486;22.564;24.442
micro;12:03:20.512;44449.502320740736;34.486;22.193;24.122
micro;12:03:20.647;44449.50232230324;37.842;24.500;26.487
micro;12:03:20.775;44449.50232378472;38.170;25.833;27.735
micro;12:03:20.889;44449.50232510417;38.890;24.231;26.337
micro;12:03:21.040;44449.502326851856;33.625;21.853;23.830
micro;12:03:21.148;44449.50232810185;35.117;22.179;24.013
micro;12:03:21.296;44449.502329814815;37.147;23.888;25.881
micro;12:03:21.419;44449.50233123843;38.170;25.603;27.438
micro;12:03:21.539;44449.502332627315;39.645;26.357;28.412
micro;12:03:21.665;44449.50233408565;35.563;24.299;26.166
micro;12:03:21.802;44449.50233567129;36.777;24.572;26.529
micro;12:03:21.932;44449.50233717593;35.563;23.799;25.832
micro;12:03:22.081;44449.502338900464;37.501;22.908;25.030
micro;12:03:22.630;44449.50234525463;35.563;23.693;25.539
micro;12:03:22.785;44449.50234704861;35.563;23.008;25.023
micro;12:03:22.932;44449.50234875;37.147;24.023;25.950
micro;12:03:23.079;44449.50235045139;34.964;23.014;24.799
micro;12:03:23.285;44449.50235283565;35.117;23.677;25.593
micro;12:03:23.394;44449.50235409722;35.987;23.370;25.353
micro;12:03:23.510;44449.502355439814;35.417;23.451;25.446
micro;12:03:23.626;44449.50235678241;34.964;23.769;25.639
micro;12:03:23.769;44449.5023584375;36.521;23.730;25.722
micro;12:03:23.885;44449.50235978009;36.650;24.532;26.531
micro;12:03:24.033;44449.502361493054;35.563;23.892;25.728
micro;12:03:24.157;44449.50236292824;43.522;25.413;27.733
micro;12:03:24.269;44449.502364224536;38.988;26.024;27.970
micro;12:03:24.412;44449.50236587963;36.650;25.446;27.241
micro;12:03:24.531;44449.502367256944;36.391;24.699;26.669
micro;12:03:24.672;44449.50236888889;37.501;23.883;25.847
micro;12:03:24.791;44449.5023702662;36.258;24.365;26.145
micro;12:03:24.910;44449.50237164352;37.147;23.916;25.907
micro;12:03:25.052;44449.50237328703;36.902;25.293;27.251
micro;12:03:25.168;44449.50237462963;36.391;25.011;26.865
micro;12:03:25.312;44449.502376296296;38.382;25.435;27.175
micro;12:03:25.426;44449.50237761574;37.147;24.431;26.368
micro;12:03:25.553;44449.50237908565;40.588;28.248;30.378
micro;12:03:25.693;44449.50238070602;49.799;30.414;32.902
micro;12:03:25.816;44449.502382129634;62.259;35.043;40.340
micro;12:03:25.957;44449.50238376157;45.666;30.569;32.690
micro;12:03:26.074;44449.502385115746;42.984;30.762;32.610
micro;12:03:26.208;44449.50238666667;40.749;30.297;32.243
micro;12:03:26.333;44449.502388113426;42.984;30.105;31.989
micro;12:03:26.454;44449.50238951389;43.918;30.746;32.790
