battery;time;excel time;level [%];voltage;temperature;mixed
battery;12:11:33.491;44449.5080265162;33.000;3.725;28.600;67.000
battery;12:11:34.510;44449.50803831019;33.000;3.725;28.600;67.000
battery;12:11:35.532;44449.50805013889;33.000;3.725;28.600;67.000
battery;12:11:36.554;44449.508061967594;33.000;3.725;28.600;67.000
battery;12:11:37.570;44449.50807372685;33.000;3.725;28.600;67.000
battery;12:11:38.612;44449.508085787034;33.000;3.725;28.600;67.000
battery;12:11:39.686;44449.50809821759;33.000;3.725;28.600;67.000
battery;12:11:40.649;44449.50810936342;33.000;3.725;28.600;67.000
battery;12:11:41.672;44449.508121203704;33.000;3.725;28.600;67.000
battery;12:11:42.690;44449.50813298611;33.000;3.725;28.600;67.000
battery;12:11:43.730;44449.50814502315;33.000;3.725;28.600;67.000
battery;12:11:44.750;44449.5081568287;33.000;3.725;28.600;67.000
battery;12:11:45.775;44449.50816869213;33.000;3.725;28.600;67.000
battery;12:11:46.794;44449.50818048611;33.000;3.725;28.600;67.000
battery;12:11:47.813;44449.50819228009;33.000;3.725;28.600;67.000
battery;12:11:48.853;44449.50820431713;33.000;3.725;28.600;67.000
battery;12:11:49.871;44449.50821609954;33.000;3.725;28.600;67.000
battery;12:11:50.892;44449.50822791667;33.000;3.725;28.600;67.000
battery;12:11:51.910;44449.50823969908;33.000;3.725;28.600;67.000
battery;12:11:52.932;44449.508251527775;33.000;3.725;28.600;67.000
battery;12:11:53.974;44449.508263587966;33.000;3.725;28.600;67.000
battery;12:11:54.994;44449.50827539352;33.000;3.725;28.600;67.000
battery;12:11:56.012;44449.50828717592;33.000;3.725;28.600;67.000
battery;12:11:57.032;44449.508298981484;33.000;3.725;28.600;67.000
battery;12:11:58.054;44449.50831081018;33.000;3.725;28.600;67.000
battery;12:11:59.089;44449.50832278935;33.000;3.725;28.600;67.000
battery;12:12:00.110;44449.50833460648;33.000;3.725;28.600;67.000
battery;12:12:01.132;44449.508346435185;33.000;3.725;28.600;67.000
battery;12:12:02.155;44449.50835827546;33.000;3.725;28.600;67.000
battery;12:12:03.173;44449.50837005787;33.000;3.725;28.600;67.000
battery;12:12:04.211;44449.508382071755;33.000;3.725;28.600;67.000
battery;12:12:05.230;44449.50839386574;33.000;3.725;28.600;67.000
battery;12:12:06.249;44449.508405659726;33.000;3.725;28.600;67.000
